2018-03-01 13:29:49.122016 UTC | [experiment_2018_03_01_13_29_45_0001] Populating workers...
2018-03-01 13:29:51.924059 UTC | [experiment_2018_03_01_13_29_45_0001] Populated
2018-03-01 13:29:55.014813 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #0 | Training started
2018-03-01 13:29:55.413749 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #0 | Training finished
2018-03-01 13:29:55.414177 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #1 | Training started
2018-03-01 13:29:55.803557 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #1 | Training finished
2018-03-01 13:29:55.803983 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #2 | Training started
2018-03-01 13:29:56.180252 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #2 | Training finished
2018-03-01 13:29:56.180701 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #3 | Training started
2018-03-01 13:29:56.551892 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #3 | Training finished
2018-03-01 13:29:56.552254 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #4 | Training started
2018-03-01 13:29:56.989673 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #4 | Training finished
2018-03-01 13:29:56.990072 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #5 | Training started
2018-03-01 13:29:57.358184 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #5 | Training finished
2018-03-01 13:29:57.358638 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #6 | Training started
2018-03-01 13:29:57.732282 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #6 | Training finished
2018-03-01 13:29:57.732675 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #7 | Training started
2018-03-01 13:29:58.151163 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #7 | Training finished
2018-03-01 13:29:58.151701 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #8 | Training started
2018-03-01 13:29:58.525741 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #8 | Training finished
2018-03-01 13:29:58.526127 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #9 | Training started
2018-03-01 13:29:59.069522 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #9 | Training finished
2018-03-01 13:29:59.070696 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #9 | Collecting samples for evaluation
2018-03-01 13:30:03.006645 UTC | -----------------------  ------------
2018-03-01 13:56:43.085648 UTC | -----------------------  -----------
2018-03-01 13:56:43.087536 UTC | Epoch                      33
2018-03-01 13:56:43.088648 UTC | AverageReturn              -2
2018-03-01 13:56:43.089546 UTC | StdReturn                   0
2018-03-01 13:56:43.090557 UTC | MaxReturn                  -2
2018-03-01 13:56:43.091391 UTC | MinReturn                  -2
2018-03-01 13:56:43.092435 UTC | AverageEsReturn           -14.8723
2018-03-01 13:56:43.093306 UTC | StdEsReturn                25.5202
2018-03-01 13:56:43.094154 UTC | MaxEsReturn                 0
2018-03-01 13:56:43.095135 UTC | MinEsReturn              -238
2018-03-01 13:56:43.095958 UTC | AverageDiscountedReturn    -2.28917
2018-03-01 13:56:43.096754 UTC | AverageQLoss                0.040296
2018-03-01 13:56:43.097806 UTC | AveragePolicySurr           0.641881
2018-03-01 13:56:43.098662 UTC | AverageQ                   -0.793423
2018-03-01 13:56:43.099467 UTC | AverageAbsQ                 0.886522
2018-03-01 13:56:43.100281 UTC | AverageY                   -0.79267
2018-03-01 13:56:43.101355 UTC | AverageAbsY                 0.910963
2018-03-01 13:56:43.102245 UTC | AverageAbsQYDiff            0.113161
2018-03-01 13:56:43.103108 UTC | AverageAction               0.625653
2018-03-01 13:56:43.104099 UTC | PolicyRegParamNorm         28.3801
2018-03-01 13:56:43.104919 UTC | QFunRegParamNorm           10.859
2018-03-01 13:56:43.105811 UTC | AverageForwardProgress      0
2018-03-01 13:56:43.106453 UTC | MaxForwardProgress          0
2018-03-01 13:56:43.107426 UTC | MinForwardProgress          0
2018-03-01 13:56:43.107852 UTC | StdForwardProgress          0
2018-03-01 13:56:43.108231 UTC | -----------------------  -----------
2018-03-01 13:56:43.108931 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #34 | Training started
2018-03-01 13:57:45.899120 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #34 | Training finished
2018-03-01 13:57:45.900126 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #34 | Collecting samples for evaluation
2018-03-01 13:57:50.972921 UTC | -----------------------  -----------
2018-03-01 13:57:50.974875 UTC | Epoch                     34
2018-03-01 13:57:50.975763 UTC | AverageReturn             -2
2018-03-01 13:57:50.976623 UTC | StdReturn                  0
2018-03-01 13:57:50.977527 UTC | MaxReturn                 -2
2018-03-01 13:57:50.978594 UTC | MinReturn                 -2
2018-03-01 13:57:50.979424 UTC | AverageEsReturn           -9.82353
2018-03-01 13:57:50.980245 UTC | StdEsReturn               10.2292
2018-03-01 13:57:50.981186 UTC | MaxEsReturn                0
2018-03-01 13:57:50.981995 UTC | MinEsReturn              -66
2018-03-01 13:57:50.982783 UTC | AverageDiscountedReturn   -2.28917
2018-03-01 13:57:50.983742 UTC | AverageQLoss               0.0440894
2018-03-01 13:57:50.984566 UTC | AveragePolicySurr          0.575931
2018-03-01 13:57:50.985480 UTC | AverageQ                  -0.731206
2018-03-01 13:57:50.986330 UTC | AverageAbsQ                0.841406
2018-03-01 13:57:50.987247 UTC | AverageY                  -0.73037
2018-03-01 13:57:50.988140 UTC | AverageAbsY                0.870269
2018-03-01 13:57:50.988938 UTC | AverageAbsQYDiff           0.118389
2018-03-01 13:57:50.989962 UTC | AverageAction              0.625422
2018-03-01 13:57:50.990769 UTC | PolicyRegParamNorm        28.4275
2018-03-01 13:57:50.991638 UTC | QFunRegParamNorm          10.9954
2018-03-01 13:57:50.992632 UTC | AverageForwardProgress     0
2018-03-01 13:57:50.993508 UTC | MaxForwardProgress         0
2018-03-01 13:57:50.994315 UTC | MinForwardProgress         0
2018-03-01 13:57:50.995109 UTC | StdForwardProgress         0
2018-03-01 13:57:50.995529 UTC | -----------------------  -----------
2018-03-01 13:57:50.996894 UTC | [experiment_2018_03_01_13_29_45_0001] epoch #35 | Training started
